Depth 1: 패션의류/잡화  categoryid= None
  Depth 2: 여성패션  categoryid= 186764
    Depth 3: 의류  categoryid= 186764
    Depth 3: 속옷/잠옷  categoryid= 186764
    Depth 3: 신발  categoryid= 186764
    Depth 3: 가방/잡화  categoryid= 186764
  Depth 2: 남성패션  categoryid= 187069
    Depth 3: 의류  categoryid= 187069
    Depth 3: 속옷/잠옷  categoryid= 187069
    Depth 3: 신발  categoryid= 187069
    Depth 3: 가방/잡화  categoryid= 187069
  Depth 2: 남녀 공용 의류  categoryid= 502993
    Depth 3: 티셔츠  categoryid= 502993
    Depth 3: 맨투맨/후드티  categoryid= 502993
    Depth 3: 셔츠  categoryid= 502993
    Depth 3: 바지  categoryid= 502993
    Depth 3: 트레이닝복  categoryid= 502993
    Depth 3: 후드집업/집업류  categoryid= 502993
    Depth 3: 니트류/조끼  categoryid= 502993
    Depth 3: 아우터  categoryid= 502993
    Depth 3: 테마의류  categoryid= 502993
    Depth 3: 커플룩/패밀리룩  categoryid= 502993
    Depth 3: 빅사이즈  categoryid= 502993
  Depth 2: 유아동패션  categoryid= 213201
    Depth 3: 베이비  categoryid= 213201
    Depth 3: 여아  categoryid= 213201
    Depth 3: 남아  categoryid= 213201

Depth 1: 뷰티  categoryid= 176522
  Depth 2: 로켓럭셔리  categoryid= 18530
  Depth 2: 스킨케어  categoryid= 176530
    Depth 3: 스킨  categoryid= 176530
    Depth 3: 로션  categoryid= 176530
    Depth 3: 에센스/세럼/앰플  categoryid= 176530
    Depth 3: 미스트  categoryid= 176530
    Depth 3: 오일  categoryid= 176530
    Depth 3: 크림/올인원  categoryid= 176530
    Depth 3: 기초세트  categoryid= 176530
    Depth 3: 마스크/팩  categoryid= 176530
    Depth 3: 선케어/태닝  categoryid= 176530
  Depth 2: 클린/비건뷰티  categoryid= 509393
    Depth 3: 스킨케어  categoryid= 509393
    Depth 3: 메이크업  categoryid= 509393
    Depth 3: 네일&툴  categoryid= 509393
  Depth 2: 클렌징/필링  categoryid= 486551
    Depth 3: 클렌징 폼  categoryid= 486551
    Depth 3: 클렌징 젤/파우더  categoryid= 486551
    Depth 3: 클렌징 비누  categoryid= 486551
    Depth 3: 클렌징 오일  categoryid= 486551
    Depth 3: 클렌징 워터  categoryid= 486551
    Depth 3: 립/아이리무버  categoryid= 486551
    Depth 3: 클렌징 티슈/시트  categoryid= 486551
    Depth 3: 클렌징 로션/크림  categoryid= 486551
    Depth 3: 클렌징세트  categoryid= 486551
    Depth 3: 스크럽/필링  categoryid= 486551
  Depth 2: 더마코스메틱  categoryid= 7642
  Depth 2: 메이크업  categoryid= 176573
    Depth 3: 베이스 메이크업  categoryid= 176573
    Depth 3: 아이 메이크업  categoryid= 176573
    Depth 3: 립 메이크업  categoryid= 176573
    Depth 3: 치크메이크업  categoryid= 176573
    Depth 3: 멀티메이크업  categoryid= 176573
    Depth 3: 바디메이크업  categoryid= 176573
  Depth 2: 향수  categoryid= 176598
    Depth 3: 여성향수  categoryid= 176598
    Depth 3: 남성향수  categoryid= 176598
    Depth 3: 남녀공용향수  categoryid= 176598
    Depth 3: 고체향수  categoryid= 176598
    Depth 3: 드레스퍼퓸  categoryid= 176598
  Depth 2: 남성화장품  categoryid= 176839
    Depth 3: 남성스킨케어  categoryid= 176839
    Depth 3: 남성메이크업  categoryid= 176839
    Depth 3: 남성화장품세트  categoryid= 176839
    Depth 3: 남성 헤어케어  categoryid= 176839
    Depth 3: 남성 바디케어  categoryid= 176839
    Depth 3: 남성 쉐이빙 케어  categoryid= 176839
  Depth 2: 네일  categoryid= 176763
    Depth 3: 네일팁/페디팁/스티커  categoryid= 176763
    Depth 3: 일반네일  categoryid= 176763
    Depth 3: 젤네일  categoryid= 176763
    Depth 3: 케어/영양/리무버  categoryid= 176763
    Depth 3: 네일케어도구  categoryid= 176763
    Depth 3: 네일아트소품/도구  categoryid= 176763
    Depth 3: 네일세트  categoryid= 176763
  Depth 2: 뷰티소품  categoryid= 176807
    Depth 3: 화장솜/면봉  categoryid= 176807
    Depth 3: 아이소품  categoryid= 176807
    Depth 3: 페이스소품  categoryid= 176807
    Depth 3: 클렌징소품  categoryid= 176807
    Depth 3: 헤어소품  categoryid= 176807
    Depth 3: 피부관리기  categoryid= 176807
    Depth 3: 용기/거울/기타소품  categoryid= 176807
  Depth 2: 어린이화장품  categoryid= 403012
    Depth 3: 메이크업  categoryid= 403012
    Depth 3: 향수  categoryid= 403012
    Depth 3: 네일케어  categoryid= 403012
    Depth 3: 세트/키트  categoryid= 403012
  Depth 2: 로드샵  categoryid= 4999
  Depth 2: 헤어  categoryid= 176602
    Depth 3: 샴푸  categoryid= 176602
    Depth 3: 린스/컨디셔너  categoryid= 176602
    Depth 3: 트리트먼트/팩/앰플  categoryid= 176602
    Depth 3: 헤어에센스/오일  categoryid= 176602
    Depth 3: 헤어스타일링  categoryid= 176602
    Depth 3: 헤어세트  categoryid= 176602
    Depth 3: 염색/파마  categoryid= 176602
  Depth 2: 바디  categoryid= 176699
    Depth 3: 샤워/입욕용품  categoryid= 176699
    Depth 3: 바디로션/크림  categoryid= 176699
    Depth 3: 핸드/풋/데오  categoryid= 176699
    Depth 3: 제모/슬리밍/청결제  categoryid= 176699
  Depth 2: 선물세트/키트  categoryid= 176963
    Depth 3: 선물세트  categoryid= 176963
    Depth 3: 여행용키트  categoryid= 176963

Depth 1: 출산/유아동  categoryid= 221934
  Depth 2: 유아동패션  categoryid= 508565
    Depth 3: 베이비  categoryid= 508565
    Depth 3: 여아  categoryid= 508565
    Depth 3: 남아  categoryid= 508565
  Depth 2: 기저귀  categoryid= 485952
    Depth 3: 일회용기저귀  categoryid= 485952
    Depth 3: 수영장기저귀  categoryid= 485952
    Depth 3: 천기저귀/액세서리  categoryid= 485952
    Depth 3: 배변훈련팬티  categoryid= 485952
    Depth 3: 기저귀케익  categoryid= 485952
    Depth 3: 기저귀크림/파우더  categoryid= 485952
    Depth 3: 기저귀정리함  categoryid= 485952
    Depth 3: 기저귀매트  categoryid= 485952
    Depth 3: 기저귀통/봉투  categoryid= 485952
    Depth 3: 기저귀가방  categoryid= 485952
  Depth 2: 물티슈  categoryid= 485979
    Depth 3: 물티슈  categoryid= 485979
    Depth 3: 건티슈  categoryid= 485979
    Depth 3: 물티슈액세서리  categoryid= 485979
  Depth 2: 분유/어린이식품  categoryid= 221939
    Depth 3: 분유  categoryid= 221939
    Depth 3: 이유식  categoryid= 221939
    Depth 3: 미음/죽/분말  categoryid= 221939
    Depth 3: 양념/식재료  categoryid= 221939
    Depth 3: 국/반찬  categoryid= 221939
    Depth 3: 간식/음료  categoryid= 221939
    Depth 3: 대용식  categoryid= 221939
  Depth 2: 어린이 건강식품  categoryid= 509025
    Depth 3: 비타민/미네랄  categoryid= 509025
    Depth 3: 홍삼  categoryid= 509025
    Depth 3: 칼슘  categoryid= 509025
    Depth 3: 유산균/초유  categoryid= 509025
    Depth 3: 오메가  categoryid= 509025
    Depth 3: 기타 건강식품  categoryid= 509025
  Depth 2: 수유용품  categoryid= 221943
    Depth 3: 젖병  categoryid= 221943
    Depth 3: 젖꼭지  categoryid= 221943
    Depth 3: 노리개젖꼭지  categoryid= 221943
    Depth 3: 치발기  categoryid= 221943
    Depth 3: 모유저장팩  categoryid= 221943
    Depth 3: 분유케이스/저장팩  categoryid= 221943
    Depth 3: 젖병세척용품  categoryid= 221943
    Depth 3: 젖병소독기/건조대  categoryid= 221943
    Depth 3: 분유보관용기  categoryid= 221943
    Depth 3: 수유패드  categoryid= 221943
    Depth 3: 유축기  categoryid= 221943
    Depth 3: 모유촉진제  categoryid= 221943
    Depth 3: 유두보호/젖몸살용품  categoryid= 221943
    Depth 3: 더보기  categoryid= 221943
  Depth 2: 이유용품/유아식기  categoryid= 334841
    Depth 3: 이유식용품  categoryid= 334841
    Depth 3: 턱받이  categoryid= 334841
    Depth 3: 빨대컵/유아컵  categoryid= 334841
    Depth 3: 유아식기/캐릭터식기  categoryid= 334841
    Depth 3: 도시락/물병/보냉백  categoryid= 334841
    Depth 3: 스푼/포크/젓가락  categoryid= 334841
    Depth 3: 유아식탁/부스터  categoryid= 334841
  Depth 2: 매트/안전용품  categoryid= 221946
    Depth 3: 놀이방매트  categoryid= 221946
    Depth 3: 퍼즐매트  categoryid= 221946
    Depth 3: 폴더매트  categoryid= 221946
    Depth 3: 벽매트  categoryid= 221946
    Depth 3: DIY/시공매트  categoryid= 221946
    Depth 3: 유아안전문  categoryid= 221946
    Depth 3: 모서리/코너보호대  categoryid= 221946
    Depth 3: 손낌방지용품  categoryid= 221946
    Depth 3: 잠금장치/커버  categoryid= 221946
    Depth 3: 미끄럼방지용품  categoryid= 221946
    Depth 3: 침대가드  categoryid= 221946
    Depth 3: 뒤집기방지쿠션  categoryid= 221946
    Depth 3: 머리/무릎보호대  categoryid= 221946
    Depth 3: 더보기  categoryid= 221946
  Depth 2: 유모차/웨건  categoryid= 381650
    Depth 3: 디럭스유모차  categoryid= 381650
    Depth 3: 절충형유모차  categoryid= 381650
    Depth 3: 휴대용유모차  categoryid= 381650
    Depth 3: 쌍둥이유모차  categoryid= 381650
    Depth 3: 웨건  categoryid= 381650
    Depth 3: 유모차/웨건액세서리  categoryid= 381650
  Depth 2: 카시트  categoryid= 381697
    Depth 3: 신생아바구니카시트  categoryid= 381697
    Depth 3: 영유아카시트  categoryid= 381697
    Depth 3: 주니어카시트  categoryid= 381697
    Depth 3: 부스터카시트  categoryid= 381697
    Depth 3: 카시트액세서리  categoryid= 381697
  Depth 2: 아기띠/외출용품  categoryid= 381717
    Depth 3: 아기띠  categoryid= 381717
    Depth 3: 올인원 아기띠  categoryid= 381717
    Depth 3: 힙시트  categoryid= 381717
    Depth 3: 트레킹캐리어  categoryid= 381717
    Depth 3: 포대기/처네  categoryid= 381717
    Depth 3: 슬링  categoryid= 381717
    Depth 3: 아기띠액세서리  categoryid= 381717
    Depth 3: 기저귀가방  categoryid= 381717
    Depth 3: 기저귀/약파우치  categoryid= 381717
    Depth 3: 보냉백/런치백  categoryid= 381717
  Depth 2: 욕실용품/스킨케어  categoryid= 221944
    Depth 3: 유아워시/샴푸  categoryid= 221944
    Depth 3: 유아구강케어  categoryid= 221944
    Depth 3: 유아스킨케어  categoryid= 221944
    Depth 3: 기저귀크림/파우더  categoryid= 221944
    Depth 3: 유아욕조/목욕의자  categoryid= 221944
    Depth 3: 유아목욕용품  categoryid= 221944
    Depth 3: 유아타올  categoryid= 221944
    Depth 3: 유아변기  categoryid= 221944
    Depth 3: 선케어/야외활동케어  categoryid= 221944
    Depth 3: 어린이화장품  categoryid= 221944
  Depth 2: 위생/건강/세제  categoryid= 221945
    Depth 3: 위생용품  categoryid= 221945
    Depth 3: 유아항균지퍼팩  categoryid= 221945
    Depth 3: 배변훈련팬티  categoryid= 221945
    Depth 3: 건강용품  categoryid= 221945
    Depth 3: 유아구강용품  categoryid= 221945
    Depth 3: 유아세제/세정제  categoryid= 221945
    Depth 3: 야외활동용품  categoryid= 221945
  Depth 2: 유아동침구  categoryid= 221942
    Depth 3: 낮잠이불  categoryid= 221942
    Depth 3: 겉싸개/속싸개  categoryid= 221942
    Depth 3: 유아이불  categoryid= 221942
    Depth 3: 베개/바디필로우  categoryid= 221942
    Depth 3: 유아담요/블랭킷  categoryid= 221942
    Depth 3: 유아 요/방수요  categoryid= 221942
    Depth 3: 침구세트  categoryid= 221942
  Depth 2: 유아가구/인테리어  categoryid= 221947
    Depth 3: 유아동침대  categoryid= 221947
    Depth 3: 유아의자/소파  categoryid= 221947
    Depth 3: 수납/정리함  categoryid= 221947
    Depth 3: 공부상/책상  categoryid= 221947
    Depth 3: 유아책장/책꽂이  categoryid= 221947
    Depth 3: 수면등/수유등  categoryid= 221947
    Depth 3: 유아키재기스티커  categoryid= 221947
  Depth 2: 완구/교구  categoryid= 349657
    Depth 3: 연령별완구  categoryid= 349657
    Depth 3: 캐릭터별완구  categoryid= 349657
    Depth 3: 신생아/영아완구  categoryid= 349657
    Depth 3: 블록놀이  categoryid= 349657
    Depth 3: 역할놀이  categoryid= 349657
    Depth 3: 로봇/작동완구  categoryid= 349657
    Depth 3: 인형  categoryid= 349657
    Depth 3: 물놀이/계절완구  categoryid= 349657
    Depth 3: 승용완구  categoryid= 349657
    Depth 3: 실내대형완구  categoryid= 349657
    Depth 3: 스포츠/야외완구  categoryid= 349657
    Depth 3: STEAM/학습완구  categoryid= 349657
    Depth 3: 보드게임  categoryid= 349657
    Depth 3: 더보기  categoryid= 349657
  Depth 2: 더보기  categoryid= 221934

Depth 1: 식품  categoryid= 194276
  Depth 2: 유기농/친환경 전문관  categoryid= 10076
  Depth 2: 과일  categoryid= 194282
    Depth 3: 사과/배  categoryid= 194282
    Depth 3: 귤/한라봉/감귤류  categoryid= 194282
    Depth 3: 감/홍시/곶감  categoryid= 194282
    Depth 3: 키위/참다래  categoryid= 194282
    Depth 3: 토마토/자두/복숭아/포도  categoryid= 194282
    Depth 3: 수박/메론/참외  categoryid= 194282
    Depth 3: 딸기/블루베리/베리류  categoryid= 194282
    Depth 3: 바나나/오렌지/파인애플  categoryid= 194282
    Depth 3: 자몽/레몬/라임/석류  categoryid= 194282
    Depth 3: 망고/체리/아보카도/기타  categoryid= 194282
    Depth 3: 냉동과일/간편과일  categoryid= 194282
    Depth 3: 과일선물세트  categoryid= 194282
  Depth 2: 견과/건과  categoryid= 194373
    Depth 3: 땅콩/호두  categoryid= 194373
    Depth 3: 밤/잣/은행  categoryid= 194373
    Depth 3: 아몬드/피스타치오  categoryid= 194373
